BOCES Code,Admin Unit,School Code,Fund Code,Location Code,SRE Code,Program Code,Obj/Srce Code,Job Class Code,Grant Code,Amount
9035,64203,0000,10,101,00,2510,0110,103,0000,10980900
9035,64203,0000,10,101,00,2300,0110,120,0000,7353750
9035,64203,0000,10,101,00,2510,0110,320,0000,1200000
9035,64203,0000,10,101,75,2510,0110,320,0000,432775
9035,64203,0000,10,101,79,2510,0110,320,0000,1731096
9035,64203,0000,10,101,00,2820,0110,345,0000,3366935
9035,64203,0000,10,101,00,2510,0110,501,0000,10338000
9035,64203,0000,10,101,00,2300,0110,506,0000,8527380
9035,64203,0000,10,101,00,2600,0110,630,0000,21865
9035,64203,0000,10,145,30,2200,0110,103,4048,549997
9035,64203,0000,10,172,00,2220,0110,506,0000,248689
9035,64203,0000,10,172,00,2220,0110,630,0000,344604
9035,64203,0000,10,205,00,2840,0110,381,0000,6153340
9035,64203,0000,10,206,00,2840,0110,380,0000,1292840
9035,64203,0000,10,218,00,2840,0110,380,0000,6564560
9035,64203,0000,10,218,00,2840,0110,382,0000,4338868
9035,64203,0000,10,230,00,2840,0110,108,0000,849381
9035,64203,0000,10,230,00,2840,0110,382,0000,615432
9035,64203,0000,10,239,00,2225,0110,506,0000,2105200
9035,64203,0000,10,502,00,1700,0110,202,3130,520625
9035,64203,0000,10,502,00,1700,0110,233,3130,45000
9035,64203,0000,10,502,00,2140,0110,236,3130,242880
9035,64203,0000,10,502,00,1700,0110,238,3130,80000
9035,64203,0000,10,502,00,1700,0110,416,3130,363350
9035,64203,0000,10,502,00,1700,0110,421,3130,263750
9035,64203,0000,10,504,00,2231,0110,102,3130,10537020
9035,64203,0000,10,504,00,2231,0110,102,5126,554580
9035,64203,0000,10,504,00,2231,0110,104,4027,7282403
9035,64203,0000,10,504,00,2840,0110,381,4027,405122
9035,64203,0000,10,504,00,2231,0110,506,4027,788424
9035,64203,0000,10,504,00,2231,0110,515,4027,3557294
9035,64203,0000,10,504,00,2231,0110,515,5126,604969
9035,64203,0000,10,505,00,1720,0110,202,3130,1404761
9035,64203,0000,10,505,00,1730,0110,202,4027,4170420
9035,64203,0000,10,505,00,2231,0110,358,4027,1979632
9035,64203,0000,10,508,00,1799,0110,416,3130,2040668
9035,64203,0000,10,509,00,2100,0110,355,5126,5748000
9035,64203,0000,10,509,00,2100,0110,423,5126,8250760
9035,64203,0000,10,510,00,2134,0110,409,0000,2038310
9035,64203,0000,10,516,00,1791,0110,202,3130,5381818
9035,64203,0000,10,516,00,2100,0110,330,3130,2974252
9035,64203,0000,10,516,00,2100,0110,330,4173,2974248
9035,64203,0000,10,516,15,2100,0110,330,3130,2472680
9035,64203,0000,10,516,00,1791,0110,416,3130,313760
9035,64203,0000,10,518,00,1790,0110,202,3130,6133500
9035,64203,0000,10,518,00,1790,0110,416,3130,7680900
9035,64203,0000,10,520,00,1770,0110,238,4027,20788730
9035,64203,0000,10,520,15,1770,0110,238,4027,3409020
9035,64203,0000,10,520,00,1770,0110,241,3130,0
9035,64203,0000,10,520,00,1770,0110,241,4027,3514800
9035,64203,0000,10,520,15,1770,0110,241,4027,4037400
9035,64203,0000,10,521,00,2113,0110,237,4027,9007400
9035,64203,0000,10,521,15,2113,0110,237,4027,5116200
9035,64203,0000,10,522,00,2140,0110,236,3130,10336393
9035,64203,0000,10,522,00,2140,0110,236,4027,13664153
9035,64203,0000,10,522,00,2140,0110,236,5126,6723407
9035,64203,0000,10,523,00,2161,0110,234,3130,4170480
9035,64203,0000,10,523,00,2161,0110,234,4027,5017272
9035,64203,0000,10,523,00,2161,0110,421,4027,2604800
9035,64203,0000,10,523,15,2161,0110,421,4027,3018700
9035,64203,0000,10,524,00,2150,0110,231,4027,4395916
9035,64203,0000,10,524,15,2150,0110,231,4027,1587050
9035,64203,0000,10,525,00,2194,0110,350,5126,5718900
9035,64203,0000,10,535,82,1720,0110,202,3130,2107139
9035,64203,0000,10,535,72,1730,0110,202,3130,463380
9035,64203,0000,10,535,68,1791,0110,202,3130,2006318
9035,64203,0000,10,535,78,1791,0110,202,3130,1003164
9035,64203,0000,10,535,72,2150,0110,231,3130,1098984
9035,64203,0000,10,535,87,2150,0110,231,3130,1587050
9035,64203,0000,10,607,00,2210,0110,103,0000,0
9035,64203,0000,10,607,00,2210,0110,107,0000,166425
9035,64203,0000,10,607,00,2210,0110,506,0000,1234692
9035,64203,0000,10,607,00,2210,0110,509,0000,1702499
9035,64203,0000,10,615,00,2213,0110,107,3150,5582900
9035,64203,0000,10,616,00,2830,0110,107,0000,1857200
9035,64203,0000,10,616,00,2830,0110,509,0000,3410121
9035,64203,0000,10,625,00,2213,0110,103,3150,800004
9035,64203,0000,10,626,00,2213,0110,107,3228,1890000
9035,64203,0000,10,643,00,2210,0110,103,0000,1075000
9035,64203,0000,10,643,00,2210,0110,218,0000,454545
9035,64203,0000,10,644,00,2100,0110,107,5413,339996
9035,64203,0000,10,644,00,0500,0110,218,5413,2084200
9035,64203,0000,10,645,00,2210,0110,103,0000,710004
9035,64203,0000,10,648,00,2210,0110,103,0000,537524
9035,64203,0000,10,685,00,2210,0110,103,0000,749004
9035,64203,0000,10,685,00,2210,0110,506,0000,1260720
9035,64203,0000,10,685,00,2210,0110,509,0000,681000
9035,64203,0000,10,686,00,2300,0110,107,3183,634464
9035,64203,0000,10,686,00,0030,0110,201,3183,6172136
9035,64203,0000,10,687,00,2300,0110,103,0000,483469
9035,64203,0000,10,687,00,2400,0110,105,0000,5830600
9035,64203,0000,10,687,00,0030,0110,201,0000,4288588
9035,64203,0000,10,705,00,2800,0110,103,4011,11479400
9035,64203,0000,10,705,00,2210,0110,107,4011,7849104
9035,64203,0000,10,705,00,3300,0110,107,4011,5133336
9035,64203,0000,10,705,00,2210,0110,108,4011,4686000
9035,64203,0000,10,705,00,0051,0110,201,4011,0
9035,64203,0000,10,705,00,2800,0110,320,4011,3072000
9035,64203,0000,10,705,00,2113,0110,322,4011,1662840
9035,64203,0000,10,705,00,2113,0110,358,4011,341000
9035,64203,0000,10,705,00,2800,0110,358,4011,48000
9035,64203,0000,10,705,00,2113,0110,382,4011,7865000
9035,64203,0000,10,705,00,2113,0110,405,4011,14919464
9035,64203,0000,10,705,00,3300,0110,405,4011,6039688
9035,64203,0000,10,705,00,0051,0110,415,4011,464000
9035,64203,0000,10,705,05,0500,0110,415,4011,1288500
9035,64203,0000,10,705,00,2800,0110,506,4011,5664363
9035,64203,0000,10,715,00,2800,0110,107,4010,2846005
9035,64203,0000,10,715,00,2500,0110,320,4010,528000
9035,64203,0000,10,715,00,2500,0110,506,4010,198000
9035,64203,0000,10,722,00,2800,0110,107,4367,150996
9035,64203,0000,10,725,00,2800,0110,107,4365,579997
9035,64203,0000,10,730,00,2113,0110,322,5196,2494260
9035,64203,0000,10,731,00,2113,0110,322,0000,176664
9035,64203,0000,10,616,00,2830,0190,218,0000,5148000
9035,64203,0000,10,101,00,2510,0200,103,0000,821304
9035,64203,0000,10,101,00,2300,0200,120,0000,842078
9035,64203,0000,10,101,00,2510,0200,320,0000,192494
9035,64203,0000,10,101,75,2510,0200,320,0000,65124
9035,64203,0000,10,101,79,2510,0200,320,0000,260507
9035,64203,0000,10,101,00,2820,0200,345,0000,573328
9035,64203,0000,10,101,00,2510,0200,501,0000,1516676
9035,64203,0000,10,101,00,2300,0200,506,0000,1313920
9035,64203,0000,10,101,00,2600,0200,630,0000,383
9035,64203,0000,10,145,30,2200,0200,103,4048,48061
9035,64203,0000,10,172,00,2220,0200,506,0000,112671
9035,64203,0000,10,172,00,2220,0200,630,0000,6031
9035,64203,0000,10,205,00,2840,0200,381,0000,241438
9035,64203,0000,10,206,00,2840,0200,380,0000,160304
9035,64203,0000,10,218,00,2840,0200,380,0000,672313
9035,64203,0000,10,218,00,2840,0200,382,0000,688358
9035,64203,0000,10,230,00,2840,0200,108,0000,14865
9035,64203,0000,10,230,00,2840,0200,382,0000,79259
9035,64203,0000,10,239,00,2225,0200,506,0000,379106
9035,64203,0000,10,502,00,1700,0200,202,3130,9166
9035,64203,0000,10,502,00,1700,0200,233,3130,788
9035,64203,0000,10,502,00,2140,0200,236,3130,4858
9035,64203,0000,10,502,00,1700,0200,238,3130,1564
9035,64203,0000,10,502,00,1700,0200,416,3130,6423
9035,64203,0000,10,502,00,1700,0200,421,3130,4975
9035,64203,0000,10,504,00,2231,0200,102,3130,850822
9035,64203,0000,10,504,00,2231,0200,102,5126,44770
9035,64203,0000,10,504,00,2231,0200,104,4027,819443
9035,64203,0000,10,504,00,2840,0200,381,4027,8395
9035,64203,0000,10,504,00,2231,0200,506,4027,25294
9035,64203,0000,10,504,00,2231,0200,515,4027,687346
9035,64203,0000,10,504,00,2231,0200,515,5126,112397
9035,64203,0000,10,505,00,1720,0200,202,3130,299688
9035,64203,0000,10,505,00,1730,0200,202,4027,693521
9035,64203,0000,10,505,00,2231,0200,358,4027,35460
9035,64203,0000,10,508,00,1799,0200,416,3130,720013
9035,64203,0000,10,509,00,2100,0200,355,5126,792327
9035,64203,0000,10,509,00,2100,0200,423,5126,1893438
9035,64203,0000,10,510,00,2134,0200,409,0000,35670
9035,64203,0000,10,516,00,1791,0200,202,3130,1057675
9035,64203,0000,10,516,00,2100,0200,330,3130,399581
9035,64203,0000,10,516,00,2100,0200,330,4173,399574
9035,64203,0000,10,516,15,2100,0200,330,3130,319652
9035,64203,0000,10,516,00,1791,0200,416,3130,5492
9035,64203,0000,10,518,00,1790,0200,202,3130,791377
9035,64203,0000,10,518,00,1790,0200,416,3130,1501408
9035,64203,0000,10,520,00,1770,0200,238,4027,3173242
9035,64203,0000,10,520,15,1770,0200,238,4027,473857
9035,64203,0000,10,520,00,1770,0200,241,3130,0
9035,64203,0000,10,520,00,1770,0200,241,4027,749496
9035,64203,0000,10,520,15,1770,0200,241,4027,763768
9035,64203,0000,10,521,00,2113,0200,237,4027,1534352
9035,64203,0000,10,521,15,2113,0200,237,4027,784795
9035,64203,0000,10,522,00,2140,0200,236,3130,2005015
9035,64203,0000,10,522,00,2140,0200,236,4027,1621782
9035,64203,0000,10,522,00,2140,0200,236,5126,1220961
9035,64203,0000,10,523,00,2161,0200,234,3130,817353
9035,64203,0000,10,523,00,2161,0200,234,4027,782879
9035,64203,0000,10,523,00,2161,0200,421,4027,787022
9035,64203,0000,10,523,15,2161,0200,421,4027,740163
9035,64203,0000,10,524,00,2150,0200,231,4027,630728
9035,64203,0000,10,524,15,2150,0200,231,4027,35792
9035,64203,0000,10,525,00,2194,0200,350,5126,118528
9035,64203,0000,10,535,82,1720,0200,202,3130,449543
9035,64203,0000,10,535,72,1730,0200,202,3130,77052
9035,64203,0000,10,535,68,1791,0200,202,3130,312480
9035,64203,0000,10,535,78,1791,0200,202,3130,156240
9035,64203,0000,10,535,72,2150,0200,231,3130,157683
9035,64203,0000,10,535,87,2150,0200,231,3130,36019
9035,64203,0000,10,607,00,2210,0200,103,0000,0
9035,64203,0000,10,607,00,2210,0200,107,0000,2914
9035,64203,0000,10,607,00,2210,0200,506,0000,164286
9035,64203,0000,10,607,00,2210,0200,509,0000,236256
9035,64203,0000,10,613,00,2213,0200,107,0000,782408
9035,64203,0000,10,615,00,2213,0200,107,3150,0
9035,64203,0000,10,616,00,2830,0200,107,0000,32502
9035,64203,0000,10,616,00,2830,0200,218,0000,90094
9035,64203,0000,10,616,00,2830,0200,509,0000,458816
9035,64203,0000,10,625,00,2213,0200,103,3150,69928
9035,64203,0000,10,626,00,2213,0200,107,3228,215108
9035,64203,0000,10,643,00,2210,0200,103,0000,87800
9035,64203,0000,10,643,00,2210,0200,218,0000,7955
9035,64203,0000,10,644,00,2100,0200,107,5413,29728
9035,64203,0000,10,644,00,0500,0200,218,5413,36473
9035,64203,0000,10,645,00,2210,0200,103,0000,62068
9035,64203,0000,10,648,00,2210,0200,103,0000,34201
9035,64203,0000,10,685,00,2210,0200,103,0000,65452
9035,64203,0000,10,685,00,2210,0200,506,0000,227412
9035,64203,0000,10,685,00,2210,0200,509,0000,94500
9035,64203,0000,10,686,00,2300,0200,107,3183,86980
9035,64203,0000,10,686,00,0030,0200,201,3183,1244034
9035,64203,0000,10,687,00,2300,0200,103,0000,54451
9035,64203,0000,10,687,00,2400,0200,105,0000,785197
9035,64203,0000,10,687,00,0030,0200,201,0000,824217
9035,64203,0000,10,705,00,2800,0200,103,4011,905276
9035,64203,0000,10,705,00,2210,0200,107,4011,905543
9035,64203,0000,10,705,00,3300,0200,107,4011,704476
9035,64203,0000,10,705,00,2210,0200,108,4011,97920
9035,64203,0000,10,705,00,0051,0200,201,4011,0
9035,64203,0000,10,705,00,2800,0200,320,4011,492800
9035,64203,0000,10,705,00,2113,0200,322,4011,304296
9035,64203,0000,10,705,00,2113,0200,358,4011,5971
9035,64203,0000,10,705,00,2800,0200,358,4011,840
9035,64203,0000,10,705,00,2113,0200,382,4011,1505296
9035,64203,0000,10,705,00,2113,0200,405,4011,2896551
9035,64203,0000,10,705,00,3300,0200,405,4011,1419982
9035,64203,0000,10,705,00,0051,0200,415,4011,8120
9035,64203,0000,10,705,05,0500,0200,415,4011,22552
9035,64203,0000,10,705,00,2800,0200,506,4011,777106
9035,64203,0000,10,715,00,2800,0200,107,4010,248755
9035,64203,0000,10,715,00,2500,0200,320,4010,84706
9035,64203,0000,10,715,00,2500,0200,506,4010,44380
9035,64203,0000,10,722,00,2800,0200,107,4367,13190
9035,64203,0000,10,725,00,2800,0200,107,4365,50585
9035,64203,0000,10,730,00,2113,0200,322,5196,456456
9035,64203,0000,10,731,00,2113,0200,322,0000,3416
9035,64203,0000,10,101,00,2510,0230,103,0000,1861072
9035,64203,0000,10,101,00,2300,0230,120,0000,1784834
9035,64203,0000,10,101,00,2510,0230,320,0000,214800
9035,64203,0000,10,101,75,2510,0230,320,0000,79414
9035,64203,0000,10,101,79,2510,0230,320,0000,317657
9035,64203,0000,10,101,00,2820,0230,345,0000,607488
9035,64203,0000,10,101,00,2510,0230,501,0000,1845750
9035,64203,0000,10,101,00,2300,0230,506,0000,1482422
9035,64203,0000,10,101,00,2600,0230,630,0000,3887
9035,64203,0000,10,145,30,2200,0230,103,4048,98449
9035,64203,0000,10,172,00,2220,0230,506,0000,43123
9035,64203,0000,10,172,00,2220,0230,630,0000,59258
9035,64203,0000,10,205,00,2840,0230,381,0000,1074391
9035,64203,0000,10,206,00,2840,0230,380,0000,217266
9035,64203,0000,10,218,00,2840,0230,380,0000,1113526
9035,64203,0000,10,218,00,2840,0230,382,0000,706206
9035,64203,0000,10,230,00,2840,0230,108,0000,151596
9035,64203,0000,10,230,00,2840,0230,382,0000,102357
9035,64203,0000,10,239,00,2225,0230,506,0000,376116
9035,64203,0000,10,502,00,1700,0230,202,3130,92419
9035,64203,0000,10,502,00,1700,0230,233,3130,8258
9035,64203,0000,10,502,00,2140,0230,236,3130,42383
9035,64203,0000,10,502,00,1700,0230,238,3130,14096
9035,64203,0000,10,502,00,1700,0230,416,3130,64906
9035,64203,0000,10,502,00,1700,0230,421,3130,46655
9035,64203,0000,10,504,00,2231,0230,102,3130,1869798
9035,64203,0000,10,504,00,2231,0230,102,5126,98412
9035,64203,0000,10,504,00,2231,0230,104,4027,1291745
9035,64203,0000,10,504,00,2840,0230,381,4027,74341
9035,64203,0000,10,504,00,2231,0230,506,4027,126672
9035,64203,0000,10,504,00,2231,0230,515,4027,622999
9035,64203,0000,10,504,00,2231,0230,515,5126,105816
9035,64203,0000,10,505,00,1720,0230,202,3130,252520
9035,64203,0000,10,505,00,1730,0230,202,4027,738280
9035,64203,0000,10,505,00,2231,0230,358,4027,363613
9035,64203,0000,10,508,00,1799,0230,416,3130,368180
9035,64203,0000,10,509,00,2100,0230,355,5126,977198
9035,64203,0000,10,509,00,2100,0230,423,5126,1176905
9035,64203,0000,10,510,00,2134,0230,409,0000,364336
9035,64203,0000,10,516,00,1791,0230,202,3130,864518
9035,64203,0000,10,516,00,2100,0230,330,3130,530684
9035,64203,0000,10,516,00,2100,0230,330,4173,530684
9035,64203,0000,10,516,15,2100,0230,330,3130,404535
9035,64203,0000,10,516,00,1791,0230,416,3130,56338
9035,64203,0000,10,518,00,1790,0230,202,3130,1032524
9035,64203,0000,10,518,00,1790,0230,416,3130,1372302
9035,64203,0000,10,520,00,1770,0230,238,4027,3666008
9035,64203,0000,10,520,15,1770,0230,238,4027,557635
9035,64203,0000,10,520,00,1770,0230,241,3130,0
9035,64203,0000,10,520,00,1770,0230,241,4027,634420
9035,64203,0000,10,520,15,1770,0230,241,4027,719167
9035,64203,0000,10,521,00,2113,0230,237,4027,1486992
9035,64203,0000,10,521,15,2113,0230,237,4027,906259
9035,64203,0000,10,522,00,2140,0230,236,3130,1740553
9035,64203,0000,10,522,00,2140,0230,236,4027,2460278
9035,64203,0000,10,522,00,2140,0230,236,5126,1332831
9035,64203,0000,10,523,00,2161,0230,234,3130,736013
9035,64203,0000,10,523,00,2161,0230,234,4027,860454
9035,64203,0000,10,523,00,2161,0230,421,4027,466256
9035,64203,0000,10,523,15,2161,0230,421,4027,496010
9035,64203,0000,10,524,00,2150,0230,231,4027,717284
9035,64203,0000,10,524,15,2150,0230,231,4027,252918
9035,64203,0000,10,525,00,2194,0230,350,5126,1027809
9035,64203,0000,10,535,82,1720,0230,202,3130,378778
9035,64203,0000,10,535,72,1730,0230,202,3130,82032
9035,64203,0000,10,535,68,1791,0230,202,3130,360604
9035,64203,0000,10,535,78,1791,0230,202,3130,180304
9035,64203,0000,10,535,72,2150,0230,231,3130,179322
9035,64203,0000,10,535,87,2150,0230,231,3130,252917
9035,64203,0000,10,607,00,2210,0230,103,0000,0
9035,64203,0000,10,607,00,2210,0230,107,0000,29897
9035,64203,0000,10,607,00,2210,0230,506,0000,213783
9035,64203,0000,10,607,00,2210,0230,509,0000,304746
9035,64203,0000,10,615,00,2213,0230,107,3150,999337
9035,64203,0000,10,616,00,2830,0230,107,0000,331801
9035,64203,0000,10,616,00,2830,0230,218,0000,944661
9035,64203,0000,10,616,00,2830,0230,509,0000,589176
9035,64203,0000,10,625,00,2213,0230,103,3150,143196
9035,64203,0000,10,626,00,2213,0230,107,3228,346815
9035,64203,0000,10,643,00,2210,0230,103,0000,197262
9035,64203,0000,10,643,00,2210,0230,218,0000,83410
9035,64203,0000,10,644,00,2100,0230,107,5413,60858
9035,64203,0000,10,644,00,0500,0230,218,5413,373074
9035,64203,0000,10,645,00,2210,0230,103,0000,127092
9035,64203,0000,10,648,00,2210,0230,103,0000,72309
9035,64203,0000,10,685,00,2210,0230,103,0000,134075
9035,64203,0000,10,685,00,2210,0230,506,0000,225672
9035,64203,0000,10,685,00,2210,0230,509,0000,121902
9035,64203,0000,10,686,00,2300,0230,107,3183,111264
9035,64203,0000,10,686,00,0030,0230,201,3183,891122
9035,64203,0000,10,687,00,2300,0230,103,0000,88431
9035,64203,0000,10,687,00,2400,0230,105,0000,969590
9035,64203,0000,10,687,00,0030,0230,201,0000,805677
9035,64203,0000,10,705,00,2800,0230,103,4011,2054813
9035,64203,0000,10,705,00,2210,0230,107,4011,1178194
9035,64203,0000,10,705,00,3300,0230,107,4011,900228
9035,64203,0000,10,705,00,2210,0230,108,4011,774354
9035,64203,0000,10,705,00,0051,0230,201,4011,0
9035,64203,0000,10,705,00,2800,0230,320,4011,549888
9035,64203,0000,10,705,00,2113,0230,322,4011,281101
9035,64203,0000,10,705,00,2113,0230,358,4011,61461
9035,64203,0000,10,705,00,2800,0230,358,4011,8808
9035,64203,0000,10,705,00,2113,0230,382,4011,1407840
9035,64203,0000,10,705,00,2113,0230,405,4011,2618251
9035,64203,0000,10,705,00,3300,0230,405,4011,1077112
9035,64203,0000,10,705,00,0051,0230,415,4011,84280
9035,64203,0000,10,705,05,0500,0230,415,4011,231848
9035,64203,0000,10,705,00,2800,0230,506,4011,964642
9035,64203,0000,10,715,00,2800,0230,107,4010,509436
9035,64203,0000,10,715,00,2500,0230,320,4010,94512
9035,64203,0000,10,715,00,2500,0230,506,4010,35298
9035,64203,0000,10,722,00,2800,0230,107,4367,27030
9035,64203,0000,10,725,00,2800,0230,107,4365,103818
9035,64203,0000,10,730,00,2113,0230,322,5196,421657
9035,64203,0000,10,731,00,2113,0230,322,0000,30932
9035,64203,0000,10,705,00,2800,0250,000,4011,0
9035,64203,0000,10,644,00,0500,0300,000,5413,1260000
9035,64203,0000,10,705,00,2120,0300,000,4011,460000
9035,64203,0000,10,705,00,2130,0300,000,4011,3000000
9035,64203,0000,10,705,00,2800,0300,000,4011,40850
9035,64203,0000,10,705,00,3300,0300,000,4011,350000
9035,64203,0000,10,625,69,2213,0302,000,3150,269000
9035,64203,0000,10,625,70,2213,0302,000,3150,2403400
9035,64203,0000,10,625,71,2213,0302,000,3150,2304200
9035,64203,0000,10,625,73,2213,0302,000,3150,1544700
9035,64203,0000,10,625,74,2213,0302,000,3150,1143900
9035,64203,0000,10,625,75,2213,0302,000,3150,194300
9035,64203,0000,10,625,76,2213,0302,000,3150,203800
9035,64203,0000,10,625,77,2213,0302,000,3150,137200
9035,64203,0000,10,625,79,2213,0302,000,3150,1977500
9035,64203,0000,10,625,88,2213,0302,000,3150,679300
9035,64203,0000,10,101,00,2300,0313,000,0000,12800
9035,64203,0000,10,101,00,2300,0320,000,0000,150000
9035,64203,0000,10,504,00,2231,0320,000,4027,175000
9035,64203,0000,10,523,00,2161,0320,000,3130,50000
9035,64203,0000,10,607,00,2210,0320,000,0000,8933
9035,64203,0000,10,101,00,2300,0330,000,0000,12900
9035,64203,0000,10,101,00,2600,0330,000,0000,14500
9035,64203,0000,10,148,00,2200,0330,000,3183,1718142
9035,64203,0000,10,205,00,2840,0330,000,0000,8097100
9035,64203,0000,10,209,00,2840,0330,000,0000,568200
9035,64203,0000,10,218,00,2840,0330,000,0000,574033
9035,64203,0000,10,238,00,2225,0330,000,0000,194749
9035,64203,0000,10,239,00,2225,0330,000,0000,240919
9035,64203,0000,10,505,00,2231,0330,000,3130,34000
9035,64203,0000,10,523,00,2161,0330,000,3130,7992000
9035,64203,0000,10,523,00,2162,0330,000,3130,8495250
9035,64203,0000,10,607,00,2210,0330,000,0000,524744
9035,64203,0000,10,615,00,2213,0330,000,3150,225000
9035,64203,0000,10,616,00,2830,0330,000,0000,1195274
9035,64203,0000,10,625,00,2213,0330,000,3150,2199373
9035,64203,0000,10,643,00,2210,0330,000,0000,1438659
9035,64203,0000,10,647,00,2100,0330,000,3224,609000
9035,64203,0000,10,648,00,2210,0330,000,0000,720192
9035,64203,0000,10,652,00,2210,0330,000,3204,0
9035,64203,0000,10,652,31,2210,0330,000,3204,1894140
9035,64203,0000,10,685,00,2210,0330,000,0000,1858888
9035,64203,0000,10,687,00,2300,0330,000,0000,1048708
9035,64203,0000,10,705,00,2800,0330,000,4011,15860
9035,64203,0000,10,101,00,2315,0331,000,0000,10500
9035,64203,0000,10,174,00,2315,0331,000,0000,385000
9035,64203,0000,10,505,00,2231,0331,000,3130,1592368
9035,64203,0000,10,101,00,2317,0332,000,0000,1750000
9035,64203,0000,10,101,00,2300,0334,000,0000,70000
9035,64203,0000,10,206,00,2840,0334,000,0000,1192248
9035,64203,0000,10,239,00,2225,0334,000,0000,0
9035,64203,0000,10,652,00,2210,0334,000,3204,0
9035,64203,0000,10,652,31,2210,0334,000,3204,4245452
9035,64203,0000,10,652,32,2210,0334,000,3204,4602150
9035,64203,0000,10,652,33,2210,0334,000,3204,4602666
9035,64203,0000,10,607,00,2210,0337,000,0000,100000
9035,64203,0000,10,616,00,2830,0337,000,0000,2499250
9035,64203,0000,10,238,00,2225,0338,000,0000,1914654
9035,64203,0000,10,239,00,2225,0338,000,0000,625364
9035,64203,0000,10,616,00,2830,0339,000,0000,234286
9035,64203,0000,10,239,00,2225,0340,000,0000,500000
9035,64203,0000,10,652,33,2210,0340,000,3204,300000
9035,64203,0000,10,101,00,2600,0421,000,0000,507039
9035,64203,0000,10,101,00,2600,0423,000,0000,2462150
9035,64203,0000,10,101,00,2600,0430,000,0000,1753078
9035,64203,0000,10,103,00,2600,0430,000,0000,4500
9035,64203,0000,10,107,00,2600,0430,000,0000,307221
9035,64203,0000,10,121,00,2600,0430,000,0000,0
9035,64203,0000,10,125,00,2300,0430,000,0000,0
9035,64203,0000,10,125,00,2600,0430,000,0000,0
9035,64203,0000,10,172,00,2220,0430,000,0000,41586
9035,64203,0000,10,218,00,2840,0430,000,0000,12400
9035,64203,0000,10,504,00,2231,0430,000,3130,19735
9035,64203,0000,10,508,00,2600,0430,000,3130,474337
9035,64203,0000,10,524,00,2150,0430,000,3130,327528
9035,64203,0000,10,687,00,2300,0430,000,0000,90737
9035,64203,0000,10,103,00,2600,0440,000,0000,12476460
9035,64203,0000,10,206,00,2840,0440,000,0000,22637942
9035,64203,0000,10,508,00,2600,0440,000,3130,2219000
9035,64203,0000,10,509,00,2100,0440,000,5126,2377500
9035,64203,0000,10,517,00,2194,0440,000,3130,0
9035,64203,0000,10,517,00,2195,0440,000,3130,0
9035,64203,0000,10,524,00,2150,0440,000,3130,7600
9035,64203,0000,10,687,00,2300,0440,000,0000,1480979
9035,64203,0000,10,705,00,2113,0440,000,4011,110903
9035,64203,0000,10,705,00,2120,0440,000,4011,124500
9035,64203,0000,10,504,00,2231,0441,000,4027,40000
9035,64203,0000,10,705,00,2800,0490,000,4011,160000
9035,64203,0000,10,518,00,1790,0510,000,3130,36000
9035,64203,0000,10,518,00,1790,0513,000,3130,61099
9035,64203,0000,10,101,00,2850,0520,000,0000,2120000
9035,64203,0000,10,101,00,2850,0525,000,0000,132700
9035,64203,0000,10,101,00,2850,0526,000,0000,3561100
9035,64203,0000,10,101,00,2300,0530,000,0000,4896
9035,64203,0000,10,101,00,2300,0531,000,0000,1829910
9035,64203,0000,10,218,00,2840,0531,000,0000,11979
9035,64203,0000,10,230,00,2840,0531,000,0000,77414
9035,64203,0000,10,238,00,2225,0531,000,0000,243646
9035,64203,0000,10,239,00,2225,0531,000,0000,229816
9035,64203,0000,10,504,00,2231,0531,000,3130,630098
9035,64203,0000,10,504,00,2231,0531,000,5126,150000
9035,64203,0000,10,509,00,2100,0531,000,5126,240000
